motif_id	motif_name	category	summary	related_deities	related_shrines	related_regions	related_clans	related_myths	earliest_sources	symbolic_meaning	ritual_meaning	political_meaning	archaeological_possible_relation	related_folklore	notes
MOTIF-108	春日御湯立	水神	湯立神事	-	SHR-012	大和	-	-	諸記録	-	浄化	-	-	-	-
MOTIF-109	淡水信仰	水神	琵琶湖等の淡水神	-	-	近江	-	-	諸民俗	-	-	-	-	-	-
MOTIF-110	海神(海そのもの)	水神	海そのものの神	-	-	全国海岸	-	-	諸資料	海	-	-	-	-	-
MOTIF-111	稲作儀礼	農耕祭祀	田植・収穫祭祀	-	-	全国	-	-	諸民俗	-	農耕祭祀	-	-	-	-
MOTIF-112	田の神	農耕祭祀	山と田を往復する神	-	-	全国	-	-	諸民俗	-	-	-	-	-	柳田國男
MOTIF-113	山の神→田の神	農耕祭祀	季節循環	-	-	全国	-	-	諸民俗	山=田	-	-	-	-	-
MOTIF-114	御田植祭	農耕祭祀	全国の御田植	-	諸社	全国	-	-	諸記録	-	-	-	-	-	-
MOTIF-115	大嘗祭	農耕祭祀	天皇即位の祭祀	-	-	全国	皇統	-	諸正史	-	-	古代以来	-	-	-
MOTIF-116	新嘗祭	農耕祭祀	収穫感謝	-	-	全国	皇統	-	諸正史	-	-	-	-	-	-
MOTIF-117	神嘗祭	農耕祭祀	伊勢神嘗	-	SHR-002	伊勢	-	-	諸記録	-	-	-	-	-	-
MOTIF-118	御饌神事	農耕祭祀	神への食物奉献	-	-	全国	-	-	諸記録	-	-	-	-	-	-
MOTIF-119	五穀豊穣	農耕祭祀	豊作祈願	-	-	全国	-	-	諸民俗	-	-	-	-	-	-
MOTIF-120	御頭祭(諏訪)	農耕祭祀	狩猟祭祀の継続	DEI-010	SHR-040	諏訪	CLN-018	MYTH-017	守矢家文書	狩猟供犠	諏訪縄文継承	縄文狩猟祭祀(L3)	-	-	鹿頭75
MOTIF-121	御霊信仰	怨霊御霊	非業の死者の神格化	-	-	全国	-	MYTH-100	諸記録	怨霊鎮め	御霊会	平安末以降	-	-	-
MOTIF-122	菅原道真天神	怨霊御霊	学問の神	-	SHR-072	筑前大和	CLN-006	-	諸記録	-	-	全国天満宮	-	-	-
MOTIF-123	平将門大明神	怨霊御霊	関東の怨霊神	-	SHR-019	関東	-	-	諸社伝	-	-	江戸期合祀	-	-	-
MOTIF-124	崇徳上皇	怨霊御霊	讃岐に流刑された上皇の怨霊	-	-	全国	-	-	諸記録	-	-	平安末	-	-	-
MOTIF-125	御霊会	怨霊御霊	御霊鎮めの祭祀	-	SHR-017	山城	-	-	諸記録	-	-	祇園御霊会	-	-	-
MOTIF-126	鎮魂祭	怨霊御霊	霊を鎮める	-	-	皇都	-	-	諸記録	-	古代鎮魂	-	-	-	-
MOTIF-127	祟り神	怨霊御霊	祟る神	DEI-014	SHR-010	大和	-	MYTH-059	書紀	-	崇神朝祟り	-	-	-	-
MOTIF-128	大物主祟り	怨霊御霊	崇神朝の祟り	DEI-014	SHR-010	大和	CLN-015	MYTH-059	書紀	-	-	纒向期祭祀の起源	-	-	-
MOTIF-129	八幡神(承平天慶反乱)	怨霊御霊	将門乱後の八幡信仰強化	DEI-035	SHR-016	全国	-	-	諸記録	-	-	-	-	-	-
MOTIF-130	早良親王	怨霊御霊	桓武朝の御霊	-	-	山城	-	-	諸記録	-	-	平安初期	-	-	-
MOTIF-131	磐座	祭祀構造物	神霊の降臨する岩	-	諸社	全国	-	-	諸資料	岩石信仰	最古層祭祀	縄文〜古代	-	-	-
MOTIF-132	神籬	祭祀構造物	臨時の神聖空間	-	-	全国	-	-	諸記録	-	最古層祭祀	-	-	-	-
MOTIF-133	神奈備山	祭祀構造物	神聖な山	-	-	全国	-	-	諸記録	-	-	-	-	-	-
MOTIF-134	神体山	祭祀構造物	山自体が神体	DEI-014	SHR-010|SHR-039	大和諏訪	-	-	諸社伝	-	-	-	-	-	-
MOTIF-135	神木	祭祀構造物	御神木	-	諸社	全国	-	-	諸民俗	樹木霊	-	-	-	-	-
MOTIF-136	御柱	祭祀構造物	諏訪四宮の御柱	DEI-010	SHR-039|SHR-040|SHR-041|SHR-042	諏訪	CLN-017	MYTH-016	諏訪社伝	樹木再生	諏訪共同体	縄文起源説(L3)	-	-	-
MOTIF-137	諸柱信仰	祭祀構造物	柱を立てる祭祀	-	-	全国	-	-	諸民俗	-	-	-	-	-	-
MOTIF-138	注連縄	祭祀構造物	神聖空間の境界	-	-	全国	-	-	諸資料	-	祭祀	-	-	-	-
MOTIF-139	神璽	祭祀構造物	神の依代	-	-	-	-	-	-	-	-	-	-	-	-
MOTIF-140	神宝	祭祀構造物	神社の宝物	-	諸社	-	-	-	諸記録	-	-	-	-	-	-
MOTIF-141	神鏡	祭祀構造物	八咫鏡	DEI-003	SHR-002	伊勢	皇統	-	古事記|書紀	太陽神	皇統正統化	古墳出土鏡	-	-	-
MOTIF-142	神剣	祭祀構造物	草薙剣・布都御魂	DEI-016	SHR-126|SHR-011	尾張大和	尾張氏物部氏	-	古事記|書紀	武神王権	-	古墳出土剣	-	-	-
MOTIF-143	勾玉	祭祀構造物	八尺瓊勾玉、玉作部	-	SHR-029	出雲玉造	玉作部	-	古事記	-	玉作祭祀	花仙山	-	-	-
MOTIF-144	神面	祭祀構造物	神楽面等	-	諸社	全国	-	-	諸民俗	-	神楽	-	-	-	-
MOTIF-145	玉串	祭祀構造物	神事の捧物	-	-	全国	-	-	諸記録	-	祭祀	-	-	-	-
MOTIF-146	ミシャグジ	在来縄文	諏訪在来縄文系土着信仰	-	SHR-040|SHR-048	諏訪・全国	CLN-018	MYTH-019	守矢家文書	樹石・蛇神	諏訪在来祭祀	縄文期信仰の生証拠(L3)	-	全国御社宮司	-
MOTIF-147	洩矢神	在来縄文	諏訪在来神	-	SHR-045	諏訪	CLN-018	MYTH-015	守矢家文書	敗者神	守矢氏祖	-	-	-	-
MOTIF-148	アラハバキ	在来縄文	東北客人神	-	門客人神社	東北関東	-	MYTH-081	諸民俗	客人神	-	縄文/アイヌ系説(L3-L4)	-	-	-
MOTIF-149	客人神	在来縄文	まろうど神	-	-	全国	-	-	諸民俗	-	-	折口マレビト論	-	-	-
MOTIF-150	御釜神	在来縄文	釜の神	-	-	出羽	-	-	諸民俗	-	-	-	-	-	-
MOTIF-151	荒神	在来縄文	三宝荒神	-	-	全国	-	-	諸民俗	火・台所	家神	-	-	-	-
MOTIF-152	ダイダラボッチ	在来縄文	地形を作る巨人	DEI-024(関連)	-	全国	-	MYTH-031	諸民俗	巨人	-	地形人格化	-	-	-
MOTIF-153	山童	在来縄文	山中の異形	-	-	全国	-	-	諸民俗	-	-	-	-	-	-
MOTIF-154	早池峰山岳	在来縄文	早池峰山の山岳精霊	-	SHR-116	陸中	-	MYTH-089	遠野物語	-	-	-	-	-	-
MOTIF-155	縄文海進記憶	在来縄文	縄文期の海面上昇神話化説	-	-	全国	-	MYTH-092	HYP-001	地理記憶	-	大胆仮説(L5)	-	-	-
MOTIF-156	阿曇族	海人渡来	北部九州海人族	-	SHR-079	筑前	CLN-021	MYTH-040	新撰姓氏録	海人族	阿曇祭祀	-	-	-	-
MOTIF-157	住吉族	海人渡来	摂津海人族	-	SHR-015	摂津	CLN-029	-	諸記録	海人族	住吉祭祀	-	-	-	-
MOTIF-158	宗像族	海人渡来	北部九州海人族	-	SHR-009	筑前	CLN-016	-	諸記録	海人族	宗像祭祀	-	-	-	-
MOTIF-159	海部族	海人渡来	丹後海人族	-	SHR-085	丹後	CLN-028	-	諸記録	海人族	海部祭祀	-	-	-	-
MOTIF-160	尾張族	海人渡来	尾張海陸豪族	-	SHR-126	尾張	CLN-030	-	諸記録	-	尾張祭祀	-	-	-	-
MOTIF-161	秦氏	海人渡来	山城渡来氏族	-	SHR-035|SHR-034	山城	CLN-022	-	諸記録	渡来	治水織物酒造	伏見稲荷|松尾大社	-	-	-
MOTIF-162	漢氏(東漢)	海人渡来	大和渡来氏族	-	-	大和	CLN-033	-	諸記録	-	軍事武器	-	-	-	-
MOTIF-163	西文氏	海人渡来	河内渡来氏族	-	-	河内	CLN-034	-	諸記録	-	文書	-	-	-	-
MOTIF-164	高麗氏	海人渡来	武蔵渡来氏族	-	-	武蔵	CLN-035	-	諸記録	-	高麗郡	-	-	-	-
MOTIF-165	隼人	海人渡来	南九州在地集団	-	-	薩摩大隅	CLN-037	-	書紀	-	隼人楯舞	海幸末裔説	-	-	-
MOTIF-166	本地垂迹	神仏習合	神=仏の権現	-	諸社	全国	-	-	中世神道書	神仏習合の核	-	平安〜中世	-	-	-
MOTIF-167	蔵王権現	神仏習合	大峰修験の主神	-	SHU-009	大和(吉野)	-	-	諸修験書	修験	-	役小角感得	-	-	釈迦・観音・弥勒
MOTIF-168	熊野権現	神仏習合	熊野三山の本地	-	SHR-005|SHR-090|SHR-091	紀伊	-	MYTH-052	中世神道	修験	-	阿弥陀薬師観音	-	-	-
MOTIF-169	八幡大菩薩	神仏習合	八幡神=阿弥陀	DEI-035	SHR-016	全国	-	-	諸記録	-	-	平安期	-	-	-
MOTIF-170	牛頭天王	神仏習合	スサノオ=牛頭天王	DEI-002|DEI-030	SHR-017	山城	-	MYTH-094	諸記録	疫神	祇園信仰	平安末以降	-	-	-
MOTIF-171	大黒天=大国主	神仏習合	大国主の習合	DEI-001	SHR-001	出雲・全国	-	-	中世神道	-	-	中世以降	-	-	-
MOTIF-172	弁才天=市杵島姫	神仏習合	イチキシマヒメ習合	DEI-019	厳島|竹生島|江島	全国	-	-	中世神道	-	-	日本三大弁才天	-	-	-
MOTIF-173	山王神道	神仏習合	日吉大社の神仏習合	DEI-047	SHR-014(山王)	近江山城	-	-	山王神道書	-	-	平安〜	-	-	-
MOTIF-174	両部神道	神仏習合	伊勢神宮の神仏習合	DEI-003	SHR-002	伊勢	-	-	両部神道書	-	-	中世神道	-	-	-
MOTIF-175	修験権現	神仏習合	各修験霊場の権現	-	SHU-001〜025	全国	-	-	諸修験書	-	-	平安〜中世	-	-	-
MOTIF-176	生贄(ニエ)	生贄供犠	神への奉献	-	-	全国	-	-	諸記録	-	-	-	-	-	諸地方
MOTIF-177	人身御供伝	生贄供犠	人身の供犠伝	-	-	全国	-	-	諸民俗	-	-	-	-	-	諸地方の伝
MOTIF-178	動物供犠	生贄供犠	動物の供犠	-	SHR-040	諏訪・全国	-	MYTH-017	諸民俗	-	狩猟祭祀	-	-	-	-
MOTIF-179	即身仏	生贄供犠	湯殿山の即身仏	-	SHR-115	出羽	-	MYTH-086	諸資料	-	湯殿山修験	江戸期	-	-	-
MOTIF-180	殉死	生贄供犠	古墳殉死の代替=埴輪	-	-	全国	-	-	書紀垂仁紀	-	-	古墳期	古墳殉死遺構	-	-
MOTIF-181	供犠の終焉	生贄供犠	人身御供の禁止	-	-	-	-	-	諸記録	-	-	古代以降	-	-	-
MOTIF-182	隼人楯	生贄供犠	朝廷儀礼の隼人	-	-	大和	CLN-037	MYTH-079	続日本紀|延喜式	服属	-	古代	-	-	-
MOTIF-183	隼人舞	生贄供犠	朝廷舞	-	-	大和	CLN-037	-	諸記録	-	-	-	-	-	-
MOTIF-184	死贄	生贄供犠	殉死	-	-	-	-	-	-	-	-	-	-	-	-
MOTIF-185	死者の代行	生贄供犠	形象埴輪等	-	-	全国	-	-	発掘調査	-	-	殉死の代替(L1)	形象埴輪	-	-
MOTIF-186	神婚	系譜婚姻	神と人(神)の婚姻	-	-	全国	-	MYTH-060	古事記	-	-	-	-	-	全国神婚譚
MOTIF-187	異類婚	系譜婚姻	人と異類の婚姻	-	-	全国	-	-	諸民俗	-	-	-	-	-	諸地方
MOTIF-188	蛇婿	系譜婚姻	三輪山型	DEI-014	SHR-010	大和・全国	-	MYTH-060	古事記	-	-	全国譚	-	-	-
MOTIF-189	海宮婚	系譜婚姻	豊玉姫型	DEI-039	-	日向対馬	-	MYTH-042	古事記	-	-	皇統と海神族	-	-	-
MOTIF-190	婚姻政略	系譜婚姻	豪族間婚姻	-	-	全国	-	-	諸正史	-	-	古代政治	-	-	-
MOTIF-191	神武祖系譜	系譜婚姻	神武の祖系譜	-	-	全国	皇統	-	古事記|書紀	-	-	-	-	-	-
MOTIF-192	出雲国造系譜	系譜婚姻	出雲国造の系譜	DEI-013	SHR-001	出雲	CLN-001	-	先代旧事本紀	-	-	-	-	-	-
MOTIF-193	物部祖系譜	系譜婚姻	物部氏祖系譜	DEI-012|DEI-041	SHR-008|SHR-011	大和下総	CLN-009	-	先代旧事本紀	-	-	祖神論争	-	-	-
MOTIF-194	中臣祖系譜	系譜婚姻	中臣藤原氏祖系譜	DEI-011|DEI-043	SHR-007|SHR-012	常陸大和	CLN-008	-	諸正史	-	-	-	-	-	-
MOTIF-195	多氏	系譜婚姻	皇別氏族	-	-	大和	CLN-031	-	諸記録	-	-	-	-	-	-
MOTIF-196	土蜘蛛	先住征服	古代の在地集団蔑称	-	-	全国	-	MYTH-004	諸風土記|書紀	先住民	-	縄文系・先住民の歴史記憶	-	-	-
MOTIF-197	八十健兄弟	先住征服	大国主の競合者	-	-	出雲	-	IZM-032	古事記	-	-	-	-	-	因幡白兎前段
MOTIF-198	蝦夷	先住征服	東北の在地集団	-	-	東北	CLN-038	MYTH-082	続日本紀	-	-	古代抗争	-	-	阿弖流為
MOTIF-199	熊襲	先住征服	南九州の在地集団	-	-	南九州	-	-	書紀	-	-	日本武尊征討伝	-	-	-
MOTIF-200	出雲振根殺害	先住征服	崇神朝の出雲服属	-	-	出雲	CLN-001	MYTH-006	書紀崇神紀	-	-	-	-	-	-
MOTIF-201	諏訪洩矢神戦争	先住征服	諏訪在来神の敗北	-	SHR-045	諏訪	CLN-018	MYTH-015	守矢家文書	-	諏訪在来層	縄文系信仰の包摂	-	-	藤刀vs鉄輪
MOTIF-202	田村麻呂征討	先住征服	平安期の蝦夷征討	-	-	東北	-	MYTH-083	諸地方伝承	-	-	古代東北征討	-	-	-
MOTIF-203	温羅退治	先住征服	吉備津彦の温羅退治	-	-	備中	CLN-026	MOTIF-089	諸地方伝承	-	-	渡来製鉄民征服(L2)	-	-	-
MOTIF-204	落人伝承	先住征服	平家落人など	-	-	山間部全国	-	MYTH-044	諸地方伝承	-	-	-	-	-	-
MOTIF-205	出雲国譲り(被征服側)	先住征服	出雲視点の国譲り	DEI-001	SHR-001	出雲	CLN-001	MYTH-002	神賀詞	-	-	出雲祭祀の中央化	-	-	-
MOTIF-206	古事記編纂	神話編集	712年成立	-	-	大和	皇統	-	古事記	-	-	-	-	-	太安万侶
MOTIF-207	日本書紀編纂	神話編集	720年成立	-	-	大和	皇統	-	日本書紀	-	-	-	-	-	舎人親王
MOTIF-208	風土記編纂	神話編集	和銅6年詔	-	-	全国	-	-	諸風土記	-	-	地方伝承の文字化	-	-	-
MOTIF-209	出雲国造神賀詞	神話編集	地方視点の神話	DEI-013	SHR-001	出雲	CLN-001	MOTIF-007	続日本紀|延喜式	-	-	出雲側視点(L1、HYP-008)	-	-	-
MOTIF-210	延喜式	神話編集	927年成立	-	-	全国	-	-	延喜式	-	-	式内社制度	-	-	-
MOTIF-211	新撰姓氏録	神話編集	815年成立	-	-	全国	-	-	新撰姓氏録	-	-	氏族系譜の整理	-	-	-
MOTIF-212	先代旧事本紀	神話編集	平安初期	-	-	-	CLN-009	-	先代旧事本紀	-	-	物部氏家伝(偽書説)	-	-	-
MOTIF-213	古語拾遺	神話編集	807年(斎部広成)	-	-	-	CLN-013	-	古語拾遺	-	-	忌部氏視点	-	-	-
MOTIF-214	中世神道書	神話編集	中世の神道思想	-	-	全国	-	-	諸中世神道書	-	-	神仏習合の体系化	-	-	-
MOTIF-215	神道五部書	神話編集	伊勢神道	-	SHR-002	伊勢	-	-	諸資料	-	-	伊勢神道思想	-	-	-
MOTIF-216	倭姫命世記	神話編集	伊勢神宮の中世神道書	-	SHR-002	伊勢	-	-	倭姫命世記	-	-	-	-	-	-
MOTIF-217	古事記伝	神話編集	本居宣長の註釈	-	-	-	-	-	古事記伝	-	-	国学	-	-	1798
MOTIF-218	国学	神話編集	近世国学	-	-	-	-	-	諸国学書	-	-	近世神道再評価	-	-	-
MOTIF-219	平田篤胤幽冥論	神話編集	大国主幽冥主宰論	DEI-001	SHR-001	出雲・全国	-	MYTH-010	霊能真柱|玉襷	-	-	近代神道の死生観	-	-	-
MOTIF-220	国家神道	神話編集	近代国家神道	DEI-003	SHR-002	全国	皇統	-	近代	-	-	近代国家祭祀	-	-	-
MOTIF-221	神鹿	動物霊	鹿島・春日の神鹿	-	SHR-007|SHR-012	常陸大和	CLN-008	MYTH-029	春日大社社伝	-	-	-	-	-	-
MOTIF-222	八咫烏	動物霊	神武熊野の道案内	DEI-051	SHR-095	紀伊大和	CLN-040	MYTH-050	古事記|書紀	-	-	山城賀茂氏祖	-	-	-
MOTIF-223	神馬(駒形)	動物霊	駒形大神	-	SHR-111	陸中	-	-	延喜式	-	-	馬産地	-	-	-
MOTIF-224	神牛	動物霊	牛頭天王・八幡神牛	DEI-030	SHR-017|SHR-016	山城豊前	-	-	諸社伝	-	-	-	-	-	-
MOTIF-225	白兎	動物霊	因幡の白兎	DEI-001	白兎神社	因幡	-	IZM-033	古事記	-	-	医療神話	-	-	-
MOTIF-226	鯉(鯉魚)	動物霊	鯉信仰	-	-	-	-	-	諸民俗	-	-	-	-	-	-
MOTIF-227	鯨(鯨神)	動物霊	鯨信仰	-	-	太地・東北	-	-	諸民俗	-	-	-	-	-	-
MOTIF-228	狼(オオカミ)	動物霊	山犬信仰	-	三峰神社等	武蔵秩父	-	-	諸民俗	-	-	-	-	-	-
MOTIF-229	蜘蛛(土蜘蛛)	動物霊	先住民の象徴	-	-	全国	-	MOTIF-196	諸記録	-	-	先住民蔑称	-	-	-
MOTIF-230	蝶	動物霊	死者の霊	-	-	全国	-	-	諸民俗	-	-	-	-	-	-
MOTIF-231	神在祭	祭祀儀礼	旧暦10月の出雲信仰	-	SHR-001|SHR-023|SHR-028	出雲	-	MYTH-008	出雲社伝	-	全国神々の集合	-	-	-	神有月
MOTIF-232	御柱祭	祭祀儀礼	諏訪四宮の式年祭	DEI-010	SHR-039〜042	諏訪	CLN-017	MOTIF-136	諏訪社伝	-	-	縄文起源説(L3)	-	-	7年に一度
MOTIF-233	御頭祭	祭祀儀礼	諏訪上社前宮	DEI-010	SHR-040	諏訪	CLN-018	MOTIF-120	守矢家文書	-	-	縄文狩猟祭祀(L3)	-	-	毎年4月
MOTIF-234	蛙狩神事	祭祀儀礼	諏訪上社本宮	DEI-010	SHR-039	諏訪	-	MYTH-018	諸社伝	-	-	-	-	-	元日
MOTIF-235	火継神事	祭祀儀礼	出雲国造代替り	-	SHR-004	出雲	CLN-001	IZM-083	出雲国造家文書	-	国造祭祀の核	-	-	-	-
MOTIF-236	青柴垣神事	祭祀儀礼	美保神社のコトシロヌシ服従再演	DEI-009	SHR-020	出雲	-	IZM-137	美保社伝	-	国譲り再演	-	-	-	-
MOTIF-237	諸手船神事	祭祀儀礼	美保神社の問答再演	DEI-009	SHR-020	出雲	-	IZM-138	美保社伝	-	国譲り再演	-	-	-	-
MOTIF-238	葵祭	祭祀儀礼	賀茂祭	-	SHR-013|SHR-014	山城	CLN-040	-	諸記録	-	-	-	-	-	-
MOTIF-239	春日祭	祭祀儀礼	藤原氏祭祀	-	SHR-012	大和	CLN-008	-	延喜式	-	-	-	-	-	-
MOTIF-240	祇園祭	祭祀儀礼	八坂神社祇園会	DEI-002|DEI-030	SHR-017	山城	-	MYTH-094	諸記録	疫神鎮め	-	平安末以降	-	-	-
MOTIF-241	大嘗祭	祭祀儀礼	即位の大祭	-	-	-	皇統	-	諸正史	-	-	-	-	-	-
MOTIF-242	鎮魂祭	祭祀儀礼	霊を鎮める祭祀	-	-	-	-	-	諸記録	-	-	-	-	-	-
MOTIF-243	式年遷宮	祭祀儀礼	伊勢の20年遷宮	DEI-003	SHR-002	伊勢	-	-	諸記録	-	-	持統朝起源	-	-	-
MOTIF-244	湯立	祭祀儀礼	全国の湯立神楽	-	-	全国	-	-	諸民俗	浄化	-	-	-	-	-
MOTIF-245	神楽	祭祀儀礼	地方神楽の多様性	-	-	出雲|九州|全国	-	MYTH-078	諸資料	-	-	-	-	-	-
