relation_id	source_id	source_type	relation_type	target_id	target_type	region	period	confidence_level	hypothesis_layer	source_reference	notes
RLN-100147	MYTH-049	myth_episode	mentioned_in	古事記|日本書紀	text	紀伊	成立CE712-720	A	L0	記紀	神武熊野
RLN-100148	MYTH-050	myth_episode	mentioned_in	古事記|日本書紀	text	紀伊大和	神代	A	L0	記紀	八咫烏道案内
RLN-100149	MYTH-051	myth_episode	performed_at	那智	region	紀伊	平安〜江戸	B	L1	諸記録	補陀落渡海
RLN-100150	MYTH-052	myth_episode	syncretized_with	阿弥陀薬師観音	-	紀伊	平安〜中世	A	L0	中世神道書	熊野三山本地仏
RLN-100151	MYTH-053	myth_episode	politically_linked	修験道	-	紀伊大峰	7世紀末伝	B	L1	諸修験書	役小角
RLN-100152	SHR-094	shrine	performed_at	熊野奥之院	-	紀伊	古代〜	A	L1	玉置神社社伝	熊野詣終点
RLN-100153	SHU-011	shrine	syncretized_with	阿弥陀如来	-	紀伊	平安〜中世	A	L0	中世神道書	熊野本宮本地
RLN-100154	SHU-012	shrine	syncretized_with	薬師如来	-	紀伊	平安〜中世	A	L0	中世神道書	熊野速玉本地
RLN-100155	SHU-013	shrine	syncretized_with	千手観音	-	紀伊	平安〜中世	A	L0	中世神道書	熊野那智本地
RLN-100156	紀伊熊野	region	syncretized_with	出雲熊野	region	紀伊・出雲	古代	C	L2	諸研究	紀伊出雲熊野関係仮説(L2-L3)
RLN-100157	SHR-096	shrine	politically_linked	高野山	-	紀伊	平安以降	A	L0	諸記録	丹生都比売-空海関係
RLN-100158	SHR-097	shrine	performed_at	紀伊国造	clan	紀伊	古代	A	L0	延喜式	日前=紀伊国造祭祀
RLN-100159	SHR-098	shrine	performed_at	紀伊国造	clan	紀伊	古代	A	L0	延喜式	國懸=紀伊国造祭祀
RLN-100160	SHR-099	shrine	primary_deity_of	五十猛命	deity	紀伊	古代〜	A	L0	延喜式	木の神
RLN-100161	DEI-014	deity	primary_deity_of	SHR-010	shrine	大和	古墳期〜	A	L0	古事記|延喜式	大物主=大神神社
RLN-100162	CLN-015	clan	performed_at	SHR-010	shrine	大和	古墳期〜	A	L0	古事記	三輪氏=世襲祭祀
RLN-100163	MYTH-058	myth_episode	mentioned_in	古事記|日本書紀	text	大和	神代	A	L0	記紀	大物主三輪山鎮座
RLN-100164	MYTH-059	myth_episode	mentioned_in	日本書紀	text	大和	崇神朝	A	L0	書紀	大田田根子祟り
RLN-100165	MYTH-060	myth_episode	politically_linked	THM-027	-	大和〜全国	神代以降	A	L0	古事記|諸民俗	三輪山型神婚
RLN-100166	MYTH-061	myth_episode	mentioned_in	日本書紀	text	大和	崇神朝	A	L0	書紀	倭迹迹日百襲姫=大物主妻
RLN-100167	MYTH-061	myth_episode	politically_linked	卑弥呼比定説	-	大和	弥生末	C	L4	諸研究	モモソヒメ卑弥呼説
RLN-100168	MYTH-062	myth_episode	politically_linked	THM-027	-	全国	神代〜	A	L0	諸民俗	蛇婿入り全国譚
RLN-100169	MYTH-063	myth_episode	politically_linked	CLN-022	clan	山城	古代〜	A	L1	松尾大社社伝	秦氏酒造神
RLN-100170	MYTH-064	myth_episode	mentioned_in	日本書紀	text	大和	崇神朝	A	L0	書紀	大田田根子=出雲茅渟県
RLN-100171	SHR-100	shrine	performed_at	大物主荒魂祭祀	-	大和	古代〜	A	L0	大神神社社伝	狭井神社=荒魂
RLN-100172	SHR-101	shrine	primary_deity_of	大田田根子	deity	大和	古代〜	A	L0	大神神社社伝	大直禰子神社
RLN-100173	SHR-102	shrine	politically_linked	元伊勢候補	-	大和	古代	B	L2	諸記録	檜原神社=倭笠縫邑
RLN-100174	SHR-103	shrine	primary_deity_of	若宇加能売命	deity	大和	古代〜	A	L0	延喜式	廣瀬大社=水神
RLN-100175	SHR-104	shrine	primary_deity_of	天御柱命	deity	大和	古代〜	A	L0	延喜式	龍田大社=風神
RLN-100176	DEI-014	deity	syncretized_with	DEI-001	deity	大和・出雲	神代	C	L2	古事記|諸研究	大物主大国主同体論争(L2)
RLN-100177	IZM-040	event	supports	HYP-005	hypothesis	大和・出雲	神代	C	L2	古事記	幸魂奇魂記述
RLN-100178	CLN-015	clan	descended_from	大田田根子	-	大和	崇神朝	B	L1	古事記	三輪氏祖
RLN-100179	MYTH-065	myth_episode	politically_linked	CLN-015	clan	大和	古代〜奈良	A	L0	先代旧事本紀	三輪氏祭祀権世襲
RLN-100180	大物主	deity	syncretized_with	三輪明神	-	大和	中世	A	L1	中世神道書	-
RLN-100181	SHR-107	shrine	primary_deity_of	高皇産霊神	deity	大和(葛城)	古代〜	A	L0	延喜式	高天彦神社=タカミムスビ
RLN-100182	大三輪山	region	politically_linked	纒向遺跡	-	大和	古墳前期	B	L2	発掘調査|諸研究	初期ヤマト王権祭祀
RLN-100183	IZM-147	event	mentioned_in	古事記|日本書紀	text	大和	崇神朝	A	L0	記紀	大物主祟りの鎮め
RLN-100184	SHR-016	shrine	primary_deity_of	八幡神	-	豊前(宇佐)	古代〜	A	L0	諸記録	八幡総本宮
RLN-100185	MYTH-071	myth_episode	mentioned_in	宇佐宮御託宣集	text	豊前	中世神道書	B	L1	託宣集	八幡神顕現(欽明32年伝)
RLN-100186	MYTH-072	myth_episode	politically_linked	応神天皇	-	豊前	古代	B	L1	託宣集	八幡=応神同体
RLN-100187	MYTH-080	myth_episode	politically_linked	SHR-016	shrine	豊前	近代	B	L2	諸研究	比売大神三説論
RLN-100188	MYTH-067	myth_episode	mentioned_in	古事記|日本書紀	text	日向	成立CE712-720	A	L0	記紀	天孫降臨高千穂
RLN-100189	SHR-062	shrine	performed_at	高千穂神楽	-	日向	古代〜	A	L0	高千穂社伝	岩戸神楽
RLN-100190	SHR-063	shrine	performed_at	クシフル神話	-	日向	神代	B	L1	地方伝承	高千穂槵触
RLN-100191	SHR-064	shrine	performed_at	天岩戸神事	-	日向	-	A	L0	地方伝承	岩戸神楽
RLN-100192	SHR-065	shrine	performed_at	豊玉姫出産伝	-	日向	-	B	L1	地方伝承	鵜戸神宮
RLN-100193	SHR-067	shrine	syncretized_with	霧島権現	-	大隅	平安〜中世	A	L0	地方伝承	霧島山修験
RLN-100194	SHR-068	shrine	primary_deity_of	彦穂穂出見尊	deity	大隅	古代〜	A	L0	延喜式	大隅一宮=山幸彦
RLN-100195	MYTH-041	myth_episode	mentioned_in	古事記|日本書紀	text	日向	成立CE712-720	A	L0	記紀	海幸山幸
RLN-100196	MYTH-042	myth_episode	mentioned_in	古事記|日本書紀	text	日向海宮	成立CE712-720	A	L0	記紀	豊玉姫玉依姫
RLN-100197	MYTH-070	myth_episode	mentioned_in	日本書紀	text	日向南九州	成立CE720	A	L0	書紀	隼人=海幸末裔
RLN-100198	CLN-037	clan	served	大和王権	-	南九州	古代	A	L0	続日本紀	隼人楯隼人舞
RLN-100199	MYTH-079	myth_episode	performed_at	朝廷儀礼	-	大和	古代	A	L0	続日本紀|延喜式	-
RLN-100200	SHR-059	shrine	primary_deity_of	健磐龍命	deity	肥後(阿蘇)	古代〜	A	L0	阿蘇神社社伝	肥後一宮=阿蘇神社
RLN-100201	CLN-036	clan	performed_at	SHR-059	shrine	肥後	古代〜現代	A	L0	阿蘇神社社家文書	阿蘇氏世襲
RLN-100202	MYTH-068	myth_episode	mentioned_in	阿蘇神社社伝	text	肥後	-	B	L1	阿蘇社伝	阿蘇都比古開拓
RLN-100203	MYTH-069	myth_episode	mentioned_in	阿蘇神社社伝	text	肥後	-	B	L1	阿蘇社伝	健磐龍命カルデラ伝
RLN-100204	MYTH-075	myth_episode	supports	阿蘇カルデラ	region	肥後	7万年前以来	C	L4	地質学	地質学的事実の神話化
RLN-100205	SHR-076	shrine	performed_at	英彦山修験	-	豊前	古代〜近代	A	L0	諸修験書	九州修験中心
RLN-100206	SHU-015	shrine	syncretized_with	阿弥陀如来	-	豊前	平安〜中世	A	L0	中世神道書	彦山権現
RLN-100207	SHU-016	shrine	politically_linked	求菩提山	region	豊前	中世	B	L1	地方伝承	豊前修験二大霊場
RLN-100208	SHR-072	shrine	primary_deity_of	菅原道真	-	筑前	延喜3年(903)	A	L0	諸記録	太宰府天満宮
RLN-100209	MYTH-100	myth_episode	politically_linked	SHR-072	shrine	全国	平安末以降	A	L0	諸社伝	御霊信仰総本宮
RLN-100210	SHR-110	shrine	primary_deity_of	八幡神	-	筑前	延喜21年(921)	A	L0	筥崎宮社伝	博多八幡
RLN-100211	SHR-111	shrine	performed_at	大宰府鎮守	-	筑前	古代	A	L0	地方伝承	宝満山修験
RLN-100212	八幡信仰	-	politically_linked	SHR-016	shrine	全国	平安〜現代	A	L0	諸記録	全国八幡神社4万社の起源
RLN-100213	八幡信仰	-	politically_linked	武家政権	-	全国	平安末以降	A	L0	諸記録	石清水八幡宮等で武家氏神化
RLN-100214	八幡信仰	-	syncretized_with	阿弥陀如来	-	全国	平安〜中世	A	L0	諸記録	八幡大菩薩
RLN-100215	SHR-073	shrine	politically_linked	神功皇后伝	-	筑前	古代	A	L0	延喜式	香椎廟
RLN-100216	SHR-115	shrine	performed_at	湯殿山即身仏	-	出羽	江戸期	A	L1	湯殿山資料	即身仏文化
RLN-100217	SHR-114	shrine	performed_at	羽黒山修験	-	出羽	平安〜現代	A	L0	出羽神社社伝	出羽三山中心
RLN-100218	SHR-113	shrine	performed_at	月山修験	-	出羽	平安〜現代	A	L0	月山社伝	死後世界
RLN-100219	MYTH-084	myth_episode	mentioned_in	出羽三山社伝	text	出羽	崇峻朝伝	B	L1	社伝	蜂子皇子開山
RLN-100220	MYTH-085	myth_episode	politically_linked	月山	region	出羽	-	B	L1	諸修験書	死後世界の信仰
RLN-100221	MYTH-086	myth_episode	performed_at	湯殿山	region	出羽	江戸期	A	L1	諸資料	即身仏伝統
RLN-100222	SHR-112	shrine	primary_deity_of	大物忌神	-	出羽	古代〜	A	L0	延喜式	出羽一宮=鳥海山
RLN-100223	SHR-117	shrine	primary_deity_of	顕国魂神	-	陸奥(津軽)	古代〜	A	L0	延喜式	岩木山神社
RLN-100224	SHR-108	shrine	primary_deity_of	塩土老翁神	-	陸奥	古代〜	A	L0	諸記録	塩竈神社=陸奥一宮
RLN-100225	SHR-110	shrine	politically_linked	伊達政宗	-	陸奥	桃山〜江戸	A	L0	近世記録	大崎八幡宮再建
RLN-100226	SHR-111	shrine	primary_deity_of	駒形大神	-	陸中	古代〜	A	L0	延喜式	馬産地祭祀
RLN-100227	SHR-116	shrine	primary_deity_of	瀬織津姫命	-	陸中	古代〜	A	L0	早池峰社伝|柳田國男『遠野物語』	早池峰山岳信仰
RLN-100228	MYTH-081	myth_episode	politically_linked	アラハバキ	-	東北関東	-	C	L3	民俗資料	縄文系信仰継承説
RLN-100229	MYTH-082	myth_episode	mentioned_in	続日本紀|日本紀略	text	東北	平安期	A	L0	続日本紀	阿弖流為抗争
RLN-100230	MYTH-083	myth_episode	politically_linked	坂上田村麻呂	-	東北	平安期	A	L0	諸地方伝承	征討伝
RLN-100231	MYTH-088	myth_episode	politically_linked	馬産地	-	陸中	古代	A	L0	延喜式	馬の神
RLN-100232	MYTH-089	myth_episode	mentioned_in	柳田國男『遠野物語』	text	陸中	近代	A	L1	民俗	早池峰山岳精霊
RLN-100233	MYTH-090	myth_episode	mentioned_in	諸地方伝承	text	東北	平安末	B	L1	諸資料	安倍貞任伝説
RLN-100234	CLN-038	clan	opposed_to	大和王権	-	陸奥出羽	古代〜中世	A	L0	続日本紀	阿弖流為等
RLN-100235	CLN-038	clan	allied_with	北海道アイヌ	-	北方	古代	C	L3	諸研究	古代北方交流
RLN-100236	SHR-118	shrine	primary_deity_of	味耜高彦根命	-	陸奥	古代〜	A	L0	延喜式	都々古別神社
RLN-100237	SHR-119	shrine	primary_deity_of	味耜高彦根命	-	陸奥	古代〜	A	L0	延喜式	八槻都々古別神社
RLN-100238	SHR-120	shrine	primary_deity_of	伊弉諾尊	-	陸奥岩代	古代〜	A	L0	延喜式	会津伊佐須美神社
RLN-100239	SHR-117	shrine	performed_at	岩木山修験	-	陸奥津軽	古代〜近代	A	L0	地方伝承	津軽の山岳信仰
RLN-100240	MYTH-091	myth_episode	politically_linked	津軽龍神	-	陸奥	-	B	L2	諸民俗	北方水神信仰
RLN-100241	日吉大社	shrine	syncretized_with	山王神道	-	近江山城	平安〜中世	A	L0	山王神道書	大山咋=釈迦
RLN-100242	日吉大社	shrine	politically_linked	延暦寺	-	近江山城	平安〜現代	A	L0	諸記録	山王神道
RLN-100243	高野山	region	politically_linked	SHR-096	shrine	紀伊	平安以降	A	L0	高野山資料	空海-丹生都比売
RLN-100244	SHR-014	shrine	syncretized_with	賀茂明神	-	山城	中世	A	L1	賀茂縁起	-
RLN-100245	SHR-013	shrine	syncretized_with	賀茂別雷大神	-	山城	平安〜	A	L0	諸社伝	-
RLN-100246	SHU-001	shrine	syncretized_with	観音	-	出羽	平安〜中世	A	L0	出羽三山社伝	羽黒権現
RLN-100247	SHU-002	shrine	syncretized_with	阿弥陀如来	-	出羽	平安〜中世	A	L0	月山社伝	月山権現
RLN-100248	SHU-003	shrine	syncretized_with	大日如来	-	出羽	平安〜中世	A	L0	湯殿山社伝	湯殿山権現
RLN-100249	SHU-004	shrine	syncretized_with	十一面観音	-	加賀	平安〜中世	A	L0	白山社伝	白山妙理大菩薩
RLN-100250	SHU-005	shrine	syncretized_with	阿弥陀如来	-	越中	平安〜中世	A	L0	立山社伝	立山権現
RLN-100251	SHU-007	shrine	syncretized_with	大日如来	-	駿河	平安〜中世	A	L0	浅間社伝	浅間大菩薩
RLN-100252	SHU-009	shrine	syncretized_with	釈迦観音弥勒	-	大和	7世紀末伝〜	A	L0	諸修験書	蔵王権現
RLN-100253	SHU-014	shrine	syncretized_with	釈迦如来	-	近江	平安〜中世	A	L0	日吉社伝	山王神道
RLN-100254	SHU-018	shrine	syncretized_with	不動明王	-	相模	平安〜中世	A	L0	大山阿夫利社伝	大山詣
RLN-100255	SHU-024	shrine	performed_at	延暦寺天台修験	-	近江山城	平安〜	A	L0	諸記録	天台山岳
RLN-100256	SHU-023	shrine	performed_at	高野山真言修験	-	紀伊	平安〜	A	L0	諸記録	真言山岳
RLN-100257	全国天満宮	-	descended_from	SHR-072	shrine	全国	平安末以降	A	L0	諸社伝	天神信仰の拡散
RLN-100258	全国稲荷社	-	descended_from	SHR-035	shrine	全国	古代以降	A	L0	諸社伝	稲荷信仰の拡散
RLN-100259	全国諏訪神社	-	descended_from	SHR-006	shrine	全国	中世	A	L0	諸社伝	諏訪神党展開
RLN-100260	全国八幡神社	-	descended_from	SHR-016	shrine	全国	平安〜	A	L0	諸社伝	八幡信仰拡散
RLN-100261	全国大国主祀社	-	descended_from	SHR-001	shrine	全国	古代〜	A	L0	諸社伝	出雲信仰拡散
RLN-100262	全国氷川神社	-	descended_from	SHR-018	shrine	関東	古代以降	A	L0	諸社伝	武蔵氷川系
RLN-100263	全国白山神社	-	descended_from	SHU-004	shrine	全国	平安以降	A	L0	諸社伝	白山信仰
RLN-100264	全国浅間神社	-	descended_from	SHU-007	shrine	全国	平安以降	A	L0	諸社伝	富士信仰
RLN-100265	全国春日系	-	descended_from	SHR-012	shrine	全国	平安以降	A	L0	諸社伝	藤原氏分霊
RLN-100266	賀茂氏二系統	-	syncretized_with	賀茂氏	-	山城葛城	古代以降	C	L2	諸研究	葛城/山城の別系統論
RLN-100267	出雲祭祀圏	-	syncretized_with	全国出雲系	-	全国	古代以降	A	L0	諸研究	出雲祭祀のネットワーク化
RLN-100268	諏訪祭祀圏	-	syncretized_with	全国諏訪系	-	全国	中世以降	A	L0	諸研究	諏訪信仰の武家化
RLN-100269	熊野祭祀圏	-	syncretized_with	全国熊野系	-	全国	平安〜	A	L0	諸研究	熊野修験全国化
RLN-100270	宗像祭祀圏	-	syncretized_with	厳島	-	安芸	平安〜	A	L0	諸記録	弁才天習合
RLN-100271	伊勢祭祀圏	-	politically_linked	皇統	-	全国	古代〜	A	L0	諸正史	国家祭祀
RLN-100272	三輪山祭祀圏	-	politically_linked	大和王権	-	大和	古墳〜	A	L0	書紀|考古	崇神朝祭祀
RLN-100273	出雲広域連合	-	supports	HYP-003	hypothesis	出雲・山陰	弥生	B	L2	学術論文	四隅突出墓・銅剣銅鐸
RLN-100274	製鉄民移動	-	supports	HYP-002	hypothesis	出雲	弥生〜古墳	C	L4	諸研究	ヤマタノオロチ製鉄説
RLN-100275	国譲り政治史	-	supports	HYP-004	hypothesis	出雲・大和	古墳〜飛鳥	B	L2	諸研究	祭祀権収奪説
RLN-100276	翡翠ロード	-	supports	HYP-006	hypothesis	出雲・諏訪・越	縄文〜弥生	B	L3	考古学	翡翠交易ネットワーク
RLN-100277	大物主同体	-	supports	HYP-005	hypothesis	大和・出雲	神代以来	C	L2	古事記|諸研究	大物主大国主同体論
RLN-100278	新羅渡来	-	supports	HYP-007	hypothesis	出雲・朝鮮半島	古代	C	L4	諸研究	スサノオ新羅由来説
RLN-100279	縄文海進	-	supports	HYP-001	hypothesis	全国	縄文期以来	D	L5	大胆仮説	検証困難
RLN-100280	神賀詞	-	supports	HYP-008	hypothesis	出雲	霊亀以降	A	L1	続日本紀	出雲側視点の神話再構成
RLN-100281	弥生→古墳祭祀転換	-	politically_linked	IZM-009	event	全国	弥生終末	A	L0	発掘調査	銅鐸消滅と古墳出現
RLN-100282	古墳期祭祀	-	politically_linked	纒向遺跡	-	大和	古墳前期	B	L2	発掘調査	初期ヤマト
RLN-100283	沖ノ島	-	politically_linked	任那・新羅	-	玄界灘	古墳〜平安	A	L0	発掘調査	国際海路祭祀
RLN-100284	七支刀	-	primary_source_for	物部氏	clan	大和	CE369	A	L0	書紀|発掘	石上神宮国宝
RLN-100285	IZM-090	event	supports	IZM-021	event	出雲・尾張	神代	C	L0	古事記	草薙剣の出雲尾張連結
RLN-100286	IZM-126	event	supports	IZM-119	event	出雲	平安〜現代	B	L2	学術研究	高層神殿復元論
RLN-100287	阿蘇火山	-	politically_linked	肥前肥後火国	region	肥前肥後	古代	A	L0	風土記	火国地名由来
RLN-100288	霧島山	-	politically_linked	高千穂峯	-	日向大隅	古代	C	L2	諸研究	高千穂比定論争
RLN-100289	祇園祭	-	performed_at	SHR-017	shrine	山城	毎年7月	A	L0	諸記録	全国祇園信仰の中軸
RLN-100290	春日祭	-	performed_at	SHR-012	shrine	大和	毎年3月	A	L0	延喜式	藤原氏祭祀
RLN-100291	葵祭	-	performed_at	SHR-013|SHR-014	shrine	山城	毎年5月	A	L0	諸記録	賀茂祭
RLN-100292	大嘗祭	-	performed_at	皇統	-	全国	古代〜現代	A	L0	諸正史	天皇即位儀
RLN-100293	新嘗祭	-	performed_at	皇統	-	全国	古代〜現代	A	L0	諸正史	-
RLN-100294	式年遷宮	-	performed_at	SHR-002|SHR-003	shrine	伊勢	20年周期	A	L0	諸記録	持統朝以降
RLN-100295	平成大遷宮	-	performed_at	SHR-001	shrine	出雲	2008-2013	A	L0	出雲大社資料	60年ぶりの修理
RLN-100296	阿曇族信濃移住	-	supports	MYTH-103	myth_episode	信濃	古代	C	L2	地名研究	安曇野=阿曇野
RLN-100297	出雲—諏訪同盟	-	supports	MYTH-104	myth_episode	出雲・諏訪	弥生〜神代	B	L2	諸研究	翡翠+婚姻+移動
RLN-100298	物部氏東国	-	supports	MYTH-105	myth_episode	下総常陸	古墳〜飛鳥	B	L1	先代旧事本紀	香取拠点
RLN-100299	温羅伝承	-	politically_linked	製鉄民	-	備中	古代	B	L2	諸研究	渡来製鉄民説
RLN-100300	大物主祟り	-	politically_linked	崇神朝祭祀整備	-	大和	崇神朝伝	B	L1	書紀	纒向期祭祀の起源神話
RLN-100301	諏訪明神絵詞	-	primary_source_for	諏訪武家信仰	-	全国	南北朝期	A	L0	諸記録	武家信仰確立
RLN-100302	続日本紀	-	primary_source_for	国家祭祀	-	全国	平安初期	A	L0	続日本紀	律令祭祀の正史
RLN-100303	延喜式	-	primary_source_for	全国神社	-	全国	CE927	A	L0	延喜式	式内社制度の確定
RLN-100304	先代旧事本紀	-	primary_source_for	物部氏	clan	全国	平安初期	C	L2	諸研究	物部氏家伝の偽書説
RLN-100305	古事記	-	primary_source_for	全国神話	-	全国	CE712	A	L0	古事記	-
RLN-100306	日本書紀	-	primary_source_for	全国神話	-	全国	CE720	A	L0	書紀	-
RLN-100307	出雲国風土記	-	primary_source_for	出雲在地神話	-	出雲	CE733	A	L0	風土記	出雲独自神話の保存
RLN-100308	常陸国風土記	-	primary_source_for	鹿島	-	常陸	CE718	A	L0	風土記	鹿島郡条
RLN-100309	豊後国風土記	-	primary_source_for	阿蘇九州	-	豊後	CE733頃	A	L0	風土記	-
RLN-100310	肥前国風土記	-	primary_source_for	北九州	-	肥前	CE733頃	A	L0	風土記	火国記述
